OBJECTID,ID_EstGrav,Tipo_EstGrav,Fecha,Coordenada_X,Coordenada_Y,Sistema_Coordenadas,Latitud,Longitud,Altura_Sobre_NivelMar,Altura_Elipsoidal,GravObs,GravTeor_Elip,GravTeor_Somig,Corr_AireLibre,Anom_AireLibre,CorrBouguer,AnomSimpleBouguer,AnomBouguerTotal,AnomRegional,AnomResidual,Estado,Equipo,AUTOR
65,1011,1,4/04/2019,4734303.005,2054572.193,9377,4.489965475,-75.39531777,,2411.321,977506.0723,978064.3197,978064.3197,744.1336606,185.8862431,265.8094868,-79.9232437,-68.39637956,-65.07674208,-3.319637475,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
66,1012,1,4/04/2019,4734011.849,2055090.108,9377,4.494640044,-75.39795636,,2296.192,977528.5646,978064.3855,978064.3855,708.6048512,172.7839458,253.11836,-80.33441426,-68.94207604,-65.57900613,-3.363069907,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
67,1013,1,4/04/2019,4734158.279,2055595.622,9377,4.49921545,-75.39665198,,2251.795,977534.3848,978064.45,978064.45,694.903937,164.8387735,248.2243025,-83.38552895,-70.71711124,-66.70152884,-4.015582393,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
68,1014,1,4/04/2019,4734416.014,2056064.898,9377,4.503466486,-75.39434366,,2205.731,977542.56,978064.5099,978064.5099,680.6885866,158.7386765,243.1464849,-84.40780841,-69.87374436,-67.52310515,-2.350639207,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
69,1015,1,4/04/2019,4733999.026,2056329.517,9377,4.505846892,-75.39810859,,2208.479,977544.0495,978064.5435,978064.5435,681.5366194,161.0426171,243.4494078,-82.40679076,-67.98854718,-67.22104759,-0.767499589,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
70,1016,1,5/04/2019,4733510.4,2056550.593,9377,4.507831392,-75.40251771,,2133.384,977554.7794,978064.5715,978064.5715,658.3623024,148.5701814,235.1713879,-86.60120642,-71.75547299,-67.9960416,-3.759431395,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
71,1017,1,5/04/2019,4733441.499,2057048.388,9377,4.512330578,-75.40315331,,2129.391,977554.2436,978064.6351,978064.6351,657.1300626,146.7385735,234.7312236,-87.99265014,-71.16787019,-67.52968387,-3.638186323,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
72,1018,1,5/04/2019,4732827.547,2058229.955,9377,4.522996339,-75.40872036,,2010.975,977570.055,978064.786,978064.786,620.586885,125.85585,221.6777578,-95.82190779,-72.09612342,-67.63368153,-4.462441889,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
73,1019,1,7/05/2019,4731248.428,2050471.747,9377,4.452797289,-75.42271707,,2111.11,977570.0439,978063.799,978063.799,651.488546,157.7334011,232.7160364,-74.98263533,-57.00415033,-58.10810929,1.103958951,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
74,1020,1,7/05/2019,4732006.468,2051236.834,9377,4.459737911,-75.41591027,,2137.603,977564.3753,978063.8959,978063.8959,659.6642858,160.1436388,235.636465,-75.49282618,-55.41506189,-58.13628861,2.721226713,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
75,1021,1,8/05/2019,4732973.322,2051464.868,9377,4.461828506,-75.40720618,,2235.471,977551.7363,978063.9252,978063.9252,689.8663506,177.6774862,246.4248431,-68.74735691,-54.84421727,-58.62048233,3.77626506,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
76,1022,1,8/05/2019,4733859.663,2051002.088,9377,4.457670036,-75.3992071,,2317.256,977524.4414,978063.8671,978063.8671,715.1052016,175.6795411,255.4403284,-79.76078732,-59.56120773,-60.29732843,0.736120697,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
77,1023,1,8/05/2019,4732526.472,2052295.011,9377,4.469321697,-75.41125659,,2380.482,977520.0213,978064.03,978064.03,734.6167452,190.6080473,262.4099814,-71.80193411,-54.53324526,-58.68027923,4.147033976,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
78,1024,1,8/05/2019,4732243.642,2053211.359,9377,4.477599194,-75.4138319,,2427.719,977507.5723,978064.146,978064.146,749.1940834,192.6203762,267.6171034,-74.99672722,-55.56171484,-58.97358462,3.411869776,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
79,1025,1,8/05/2019,4732063.661,2054370.089,9377,4.488071408,-75.41548788,,2406.571,977507.7159,978064.2931,978064.2931,742.6678106,186.09063,265.2858754,-79.19524539,-57.38346948,-60.84937196,3.465902478,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
80,1026,1,8/05/2019,4732230.821,2055571.526,9377,4.498940136,-75.41401756,,2325.947,977520.4187,978064.4461,978064.4461,717.7872442,173.7598612,256.3983718,-82.63851065,-61.36367886,-63.08982395,1.726145094,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
81,1027,1,9/05/2019,4734317.403,2050170.414,9377,4.450163147,-75.39505876,,2098.681,977573.3907,978063.7623,978063.7623,647.6529566,157.2813493,231.3459384,-74.06458912,-59.12654925,-60.12432224,0.997772986,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
82,1028,1,9/05/2019,4735398.748,2049562.198,9377,4.444695025,-75.38529873,,2116.528,977565.6238,978063.6861,978063.6861,653.1605408,155.0982269,233.3132841,-78.21505715,-62.65691401,-61.48243413,-1.174479879,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
83,1029,1,9/05/2019,4734691.325,2049322.013,9377,4.442502483,-75.39166518,,1788.618,977632.8437,978063.6556,978063.6556,551.9675148,121.1556259,197.166463,-76.01083702,-60.87298076,-60.46740107,-0.40557969,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
